"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en.x","countrycode_wb","recipient","total funding disbursed","iso3","countrycode_en.y"
"Jordan","JOR","Middle East & North Africa","Upper middle income","IBRD",NA,"Jordan","JOR","Jordan",915311770,"JOR","Jordan"
"Japan","JPN","East Asia & Pacific","High income",NA,NA,"Japan","JPN","Japan",335022,"JPN","Japan"
"Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","IBRD",NA,"Kazakhstan","KAZ","Kazakhstan",1317476884,"KAZ","Kazakhstan"
"Kenya","KEN","Sub-Saharan Africa","Lower middle income","Blend",NA,"Kenya","KEN","Kenya",6824208777,"KEN","Kenya"
"Kyrgyz Republic","KGZ","Europe & Central Asia","Lower middle income","IDA",NA,"Kyrgyzstan","KGZ","Kyrgyzstan",452055331,"KGZ","Kyrgyzstan"
"Cambodia","KHM","East Asia & Pacific","Lower middle income","IDA",NA,"Cambodia","KHM","Cambodia",1344361264,"KHM","Cambodia"
"Kiribati","KIR","East Asia & Pacific","Lower middle income","IDA",NA,"Kiribati","KIR","Kiribati",48998446,"KIR","Kiribati"
"St. Kitts and Nevis","KNA","Latin America & Caribbean","High income","IBRD",NA,"St. Kitts & Nevis","KNA","Saint Kitts and Nevis",447811,"KNA","Saint Kitts and Nevis"
"Korea, Rep.","KOR","East Asia & Pacific","High income",NA,NA,"South Korea","KOR","Republic of Korea",19453,"KOR","Republic of Korea"
"Kuwait","KWT","Middle East & North Africa","High income",NA,NA,"Kuwait","KWT","Kuwait",989740,"KWT","Kuwait"
"Lao PDR","LAO","East Asia & Pacific","Lower middle income","IDA",NA,"Laos","LAO","Lao People's Democratic Republic",655469669,"LAO","Lao People’s Democratic Republic"
"Lebanon","LBN","Middle East & North Africa","Lower middle income","IBRD",NA,"Lebanon","LBN","Lebanon",485418963,"LBN","Lebanon"
"Liberia","LBR","Sub-Saharan Africa","Low income","IDA","HIPC","Liberia","LBR","Liberia",1744978341,"LBR","Liberia"
"Libya","LBY","Middle East & North Africa","Upper middle income","IBRD",NA,"Libya","LBY","Libya",113513593,"LBY","Libya"
"St. Lucia","LCA","Latin America & Caribbean","Upper middle income","Blend",NA,"St. Lucia","LCA","Saint Lucia",64104948,"LCA","Saint Lucia"
"Liechtenstein","LIE","Europe & Central Asia","High income",NA,NA,"Liechtenstein","LIE",NA,NA,NA,NA
"Sri Lanka","LKA","South Asia","Lower middle income","IDA",NA,"Sri Lanka","LKA","Sri Lanka",599877866,"LKA","Sri Lanka"
"Lesotho","LSO","Sub-Saharan Africa","Lower middle income","IDA",NA,"Lesotho","LSO","Lesotho",749029478,"LSO","Lesotho"
"Lithuania","LTU","Europe & Central Asia","High income",NA,"EMU","Lithuania","LTU","Lithuania",24173157,"LTU","Lithuania"
"Luxembourg","LUX","Europe & Central Asia","High income",NA,"EMU","Luxembourg","LUX",NA,NA,NA,NA
"Latvia","LVA","Europe & Central Asia","High income",NA,"EMU","Latvia","LVA","Latvia",961857,"LVA","Latvia"
"Macao SAR, China","MAC","East Asia & Pacific","High income",NA,NA,"Macao SAR China","MAC",NA,NA,NA,NA
"St. Martin (French part)","MAF","Latin America & Caribbean","High income",NA,NA,"Saint Martin (French part)","MAF","Saint Martin",78742,"MAF",NA
"Morocco","MAR","Middle East & North Africa","Lower middle income","IBRD",NA,"Morocco","MAR","Morocco",1212273073,"MAR","Morocco"
"Monaco","MCO","Europe & Central Asia","High income",NA,NA,"Monaco","MCO",NA,NA,NA,NA
"Moldova","MDA","Europe & Central Asia","Upper middle income","IBRD",NA,"Moldova","MDA","Republic of Moldova",190746596,"MDA","Republic of Moldova"
"Madagascar","MDG","Sub-Saharan Africa","Low income","IDA","HIPC","Madagascar","MDG","Madagascar",1219038845,"MDG","Madagascar"
"Maldives","MDV","South Asia","Upper middle income","IDA",NA,"Maldives","MDV","Maldives",78457089,"MDV","Maldives"
"Mexico","MEX","Latin America & Caribbean","Upper middle income","IBRD",NA,"Mexico","MEX","Mexico",1477554016,"MEX","Mexico"
"Marshall Islands","MHL","East Asia & Pacific","Upper middle income","IDA",NA,"Marshall Islands","MHL","Marshall Islands",15803520,"MHL","Marshall Islands"
"North Macedonia","MKD","Europe & Central Asia","Upper middle income","IBRD",NA,"North Macedonia","MKD","North Macedonia",116831239,"MKD","North Macedonia"
"Mali","MLI","Sub-Saharan Africa","Low income","IDA","HIPC","Mali","MLI","Mali",1926632480,"MLI","Mali"
"Malta","MLT","Middle East & North Africa","High income",NA,"EMU","Malta","MLT","Malta",6800,"MLT","Malta"
"Myanmar","MMR","East Asia & Pacific","Lower middle income","IDA",NA,"Myanmar (Burma)","MMR","Myanmar",2524951552,"MMR","Myanmar"
"Montenegro","MNE","Europe & Central Asia","Upper middle income","IBRD",NA,"Montenegro","MNE","Montenegro",61658028,"MNE","Montenegro"
"Mongolia","MNG","East Asia & Pacific","Lower middle income","IBRD",NA,"Mongolia","MNG","Mongolia",471688250,"MNG","Mongolia"
"Northern Mariana Islands","MNP","East Asia & Pacific","High income",NA,NA,"Northern Mariana Islands","MNP",NA,NA,NA,NA
"Mozambique","MOZ","Sub-Saharan Africa","Low income","IDA","HIPC","Mozambique","MOZ","Mozambique",5724123949,"MOZ","Mozambique"
"Mauritania","MRT","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Mauritania","MRT","Mauritania",277000737,"MRT","Mauritania"
"Mauritius","MUS","Sub-Saharan Africa","Upper middle income","IBRD",NA,"Mauritius","MUS","Mauritius",607623988,"MUS","Mauritius"
"Malawi","MWI","Sub-Saharan Africa","Low income","IDA","HIPC","Malawi","MWI","Malawi",3853422826,"MWI","Malawi"
"Malaysia","MYS","East Asia & Pacific","Upper middle income","IBRD",NA,"Malaysia","MYS","Malaysia",36106917,"MYS","Malaysia"
"Namibia","NAM","Sub-Saharan Africa","Upper middle income","IBRD",NA,"Namibia","NAM","Namibia",568236690,"NAM","Namibia"
"New Caledonia","NCL","East Asia & Pacific","High income",NA,NA,"New Caledonia","NCL",NA,NA,NA,NA
"Niger","NER","Sub-Saharan Africa","Low income","IDA","HIPC","Niger","NER","Niger",1440086442,"NER","Niger"
"Nigeria","NGA","Sub-Saharan Africa","Lower middle income","Blend",NA,"Nigeria","NGA","Nigeria",11962136186,"NGA","Nigeria"
"Nicaragua","NIC","Latin America & Caribbean","Lower middle income","IDA","HIPC","Nicaragua","NIC","Nicaragua",646902899,"NIC","Nicaragua"
"Netherlands","NLD","Europe & Central Asia","High income",NA,"EMU","Netherlands","NLD","Netherlands",36038269,"NLD","Netherlands"
"Norway","NOR","Europe & Central Asia","High income",NA,NA,"Norway","NOR","Norway",27060,"NOR","Norway"
"Nepal","NPL","South Asia","Lower middle income","IDA",NA,"Nepal","NPL","Nepal",1916825922,"NPL","Nepal"
"Nauru","NRU","East Asia & Pacific","High income","IBRD",NA,"Nauru","NRU","Nauru",18072399,"NRU","Nauru"
"New Zealand","NZL","East Asia & Pacific","High income",NA,NA,"New Zealand","NZL","New Zealand",4873276,"NZL","New Zealand"
"Oman","OMN","Middle East & North Africa","High income",NA,NA,"Oman","OMN","Oman",3713972,"OMN","Oman"
"Pakistan","PAK","South Asia","Lower middle income","Blend",NA,"Pakistan","PAK","Pakistan",7103134760,"PAK","Pakistan"
"Panama","PAN","Latin America & Caribbean","High income","IBRD",NA,"Panama","PAN","Panama",149129448,"PAN","Panama"
"Peru","PER","Latin America & Caribbean","Upper middle income","IBRD",NA,"Peru","PER","Peru",247183573,"PER","Peru"
"Philippines","PHL","East Asia & Pacific","Lower middle income","IBRD",NA,"Philippines","PHL","Philippines",4220824206,"PHL","Philippines"
"Palau","PLW","East Asia & Pacific","Upper middle income","IBRD",NA,"Palau","PLW","Palau",38143025,"PLW","Palau"
"Papua New Guinea","PNG","East Asia & Pacific","Lower middle income","Blend",NA,"Papua New Guinea","PNG","Papua New Guinea",1572433508,"PNG","Papua New Guinea"
"Poland","POL","Europe & Central Asia","High income","IBRD",NA,"Poland","POL","Poland",1006212,"POL","Poland"
"Puerto Rico","PRI","Latin America & Caribbean","High income",NA,NA,"Puerto Rico","PRI",NA,NA,NA,NA
"Korea, Dem. People's Rep.","PRK","East Asia & Pacific","Low income",NA,NA,"North Korea","PRK","Democratic People's Republic of Korea",232503629,"PRK","Democratic People’s Republic of Korea"
"Portugal","PRT","Europe & Central Asia","High income",NA,"EMU","Portugal","PRT",NA,NA,NA,NA
"Paraguay","PRY","Latin America & Caribbean","Upper middle income","IBRD",NA,"Paraguay","PRY","Paraguay",150142128,"PRY","Paraguay"
"West Bank and Gaza","PSE","Middle East & North Africa","Lower middle income",NA,NA,"Palestinian Territories","PSE","Palestine",650153769,"PSE",NA
"French Polynesia","PYF","East Asia & Pacific","High income",NA,NA,"French Polynesia","PYF","French Polynesia",30599,"PYF",NA
"Qatar","QAT","Middle East & North Africa","High income",NA,NA,"Qatar","QAT","Qatar",172043,"QAT","Qatar"
"Romania","ROU","Europe & Central Asia","High income","IBRD",NA,"Romania","ROU","Romania",287812699,"ROU","Romania"
"Russian Federation","RUS","Europe & Central Asia","Upper middle income","IBRD",NA,"Russia","RUS","Russian Federation",26734409,"RUS","Russian Federation"
"Rwanda","RWA","Sub-Saharan Africa","Low income","IDA","HIPC","Rwanda","RWA","Rwanda",2181727469,"RWA","Rwanda"
"Saudi Arabia","SAU","Middle East & North Africa","High income",NA,NA,"Saudi Arabia","SAU","Saudi Arabia",20209576,"SAU","Saudi Arabia"
"Sudan","SDN","Sub-Saharan Africa","Low income","IDA","HIPC","Sudan","SDN","Sudan",1529624442,"SDN","Sudan"
"Senegal","SEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Senegal","SEN","Senegal",1289809237,"SEN","Senegal"
"Singapore","SGP","East Asia & Pacific","High income",NA,NA,"Singapore","SGP","Singapore",26677,"SGP","Singapore"
"Solomon Islands","SLB","East Asia & Pacific","Lower middle income","IDA",NA,"Solomon Islands","SLB","Solomon Islands",207399409,"SLB","Solomon Islands"
"Sierra Leone","SLE","Sub-Saharan Africa","Low income","IDA","HIPC","Sierra Leone","SLE","Sierra Leone",2360133417,"SLE","Sierra Leone"
"El Salvador","SLV","Latin America & Caribbean","Lower middle income","IBRD",NA,"El Salvador","SLV","El Salvador",358847155,"SLV","El Salvador"
"San Marino","SMR","Europe & Central Asia","High income",NA,NA,"San Marino","SMR","San Marino",78742,"SMR","San Marino"
"Somalia","SOM","Sub-Saharan Africa","Low income","IDA","HIPC","Somalia","SOM","Somalia",1743332121,"SOM","Somalia"
"Serbia","SRB","Europe & Central Asia","Upper middle income","IBRD",NA,"Serbia","SRB","Serbia",153417864,"SRB","Serbia"
"South Sudan","SSD","Sub-Saharan Africa","Low income","IDA",NA,"South Sudan","SSD","South Sudan",2652335514,"SSD","South Sudan"
"São Tomé and Príncipe","STP","Sub-Saharan Africa","Lower middle income","IDA","HIPC","São Tomé & Príncipe","STP","Sao Tome and Principe",57687108,"STP","Sao Tome and Principe"
"Suriname","SUR","Latin America & Caribbean","Upper middle income","IBRD",NA,"Suriname","SUR","Suriname",27782380,"SUR","Suriname"
"Slovak Republic","SVK","Europe & Central Asia","High income",NA,"EMU","Slovakia","SVK","Slovakia",935879,"SVK","Slovakia"
"Slovenia","SVN","Europe & Central Asia","High income",NA,"EMU","Slovenia","SVN","Slovenia",840324,"SVN","Slovenia"
"Sweden","SWE","Europe & Central Asia","High income",NA,NA,"Sweden","SWE","Sweden",2140122,"SWE","Sweden"
"Eswatini","SWZ","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Eswatini","SWZ","Eswatini",665226231,"SWZ","Eswatini"
"Sint Maarten (Dutch part)","SXM","Latin America & Caribbean","High income",NA,NA,"Sint Maarten","SXM","Sint Maarten",7354505,"SXM",NA
"Seychelles","SYC","Sub-Saharan Africa","High income","IBRD",NA,"Seychelles","SYC","Seychelles",16832782,"SYC","Seychelles"
"Syrian Arab Republic","SYR","Middle East & North Africa","Low income","IDA",NA,"Syria","SYR","Syrian Arab Republic",563069818,"SYR","Syrian Arab Republic"
"Turks and Caicos Islands","TCA","Latin America & Caribbean","High income",NA,NA,"Turks & Caicos Islands","TCA",NA,NA,NA,NA
"Chad","TCD","Sub-Saharan Africa","Low income","IDA","HIPC","Chad","TCD","Chad",945518874,"TCD","Chad"
"Togo","TGO","Sub-Saharan Africa","Low income","IDA","HIPC","Togo","TGO","Togo",696909293,"TGO","Togo"
"Thailand","THA","East Asia & Pacific","Upper middle income","IBRD",NA,"Thailand","THA","Thailand",1814178535,"THA","Thailand"
"Tajikistan","TJK","Europe & Central Asia","Lower middle income","IDA",NA,"Tajikistan","TJK","Tajikistan",453105697,"TJK","Tajikistan"
"Turkmenistan","TKM","Europe & Central Asia","Upper middle income","IBRD",NA,"Turkmenistan","TKM","Turkmenistan",51798285,"TKM","Turkmenistan"
"Timor-Leste","TLS","East Asia & Pacific","Lower middle income","Blend",NA,"Timor-Leste","TLS","Timor-Leste",232560576,"TLS","Timor-Leste"
"Tonga","TON","East Asia & Pacific","Upper middle income","IDA",NA,"Tonga","TON","Tonga",74032115,"TON","Tonga"
"Trinidad and Tobago","TTO","Latin America & Caribbean","High income","IBRD",NA,"Trinidad & Tobago","TTO","Trinidad and Tobago",40350568,"TTO","Trinidad and Tobago"
"Tunisia","TUN","Middle East & North Africa","Lower middle income","IBRD",NA,"Tunisia","TUN","Tunisia",260854948,"TUN","Tunisia"
"Türkiye","TUR","Europe & Central Asia","Upper middle income","IBRD",NA,"Turkey","TUR","Turkey",977877426,"TUR","Turkey"
"Tuvalu","TUV","East Asia & Pacific","Upper middle income","IDA",NA,"Tuvalu","TUV","Tuvalu",15137190,"TUV","Tuvalu"
"Taiwan, China","TWN","East Asia & Pacific","High income",NA,NA,"Taiwan","TWN","Taiwan",6612,"TWN",NA
"Tanzania","TZA","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Tanzania","TZA","United Republic of Tanzania",6591163591,"TZA","United Republic of Tanzania"
"Uganda","UGA","Sub-Saharan Africa","Low income","IDA","HIPC","Uganda","UGA","Uganda",6377678308,"UGA","Uganda"
"Ukraine","UKR","Europe & Central Asia","Lower middle income","IBRD",NA,"Ukraine","UKR","Ukraine",1173128778,"UKR","Ukraine"
"Uruguay","URY","Latin America & Caribbean","High income","IBRD",NA,"Uruguay","URY","Uruguay",30029685,"URY","Uruguay"
"United States","USA","North America","High income",NA,NA,"United States","USA","United States of America",35320351,"USA","United States of America"
"Uzbekistan","UZB","Europe & Central Asia","Lower middle income","Blend",NA,"Uzbekistan","UZB","Uzbekistan",1235343875,"UZB","Uzbekistan"
"St. Vincent and the Grenadines","VCT","Latin America & Caribbean","Upper middle income","Blend",NA,"St. Vincent & Grenadines","VCT","Saint Vincent and the Grenadines",14141044,"VCT","Saint Vincent and the Grenadines"
"Venezuela, RB","VEN","Latin America & Caribbean",NA,"IBRD",NA,"Venezuela","VEN","Venezuela, Bolivarian Republic of",83327885,"VEN","Venezuela (Bolivarian Republic of)"
