"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en","countrycode_wb","region","country","capacity","score","year","capacity_category","category"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Food Safety",30,2019,"Prevent","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Biosafety and Biosecurity",20,2019,"Prevent","red"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Immunization",60,2019,"Prevent","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","National Laboratory System",35,2019,"Detect","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Real-Time Surveillance",53,2019,"Detect","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Reporting",40,2019,"Detect","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Human Resources (Animal and human health sector)",30,2019,"Detect","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Preparedness",40,2019,"Respond","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Emergency Response Operations",40,2019,"Respond","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Linking Public Health and Security Authorities",60,2019,"Respond","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Medical Countermeasures",73,2019,"Respond","green"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Risk Communication",55,2019,"Respond","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Events Points of Entry (PoEs)",30,2019,"Other Hazards","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Chemical Events",20,2019,"Other Hazards","red"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Radiation Emergencies",40,2019,"Other Hazards","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","National Legislation, Policy and Financing",70,2016,"Prevent","green"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","IHR Coordination, Communication and Advocacy",60,2016,"Prevent","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Antimicrobial Resistance",40,2016,"Prevent","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Zoonotic Disease",70,2016,"Prevent","green"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Food Safety",80,2016,"Prevent","green"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Biosafety and Biosecurity",50,2016,"Prevent","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Immunization",100,2016,"Prevent","green"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","National Laboratory System",60,2016,"Detect","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Real-Time Surveillance",80,2016,"Detect","green"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Reporting",80,2016,"Detect","green"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Human Resources (Animal and human health sector)",40,2016,"Detect","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Preparedness",40,2016,"Respond","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Emergency Response Operations",40,2016,"Respond","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Linking Public Health and Security Authorities",60,2016,"Respond","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Medical Countermeasures",20,2016,"Respond","red"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Risk Communication",60,2016,"Respond","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Events Points of Entry (PoEs)",50,2016,"Other Hazards","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Chemical Events",40,2016,"Other Hazards","yellow"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","European Region","Albania","Radiation Emergencies",80,2016,"Other Hazards","green"
"Andorra","AND","Europe & Central Asia","High income",NA,NA,"Andorra","AND",NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","National Legislation, Policy and Financing",100,2017,"Prevent","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","IHR Coordination, Communication and Advocacy",100,2017,"Prevent","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Antimicrobial Resistance",80,2017,"Prevent","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Zoonotic Disease",80,2017,"Prevent","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Food Safety",100,2017,"Prevent","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Biosafety and Biosecurity",60,2017,"Prevent","yellow"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Immunization",100,2017,"Prevent","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","National Laboratory System",90,2017,"Detect","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Real-Time Surveillance",80,2017,"Detect","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Reporting",100,2017,"Detect","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Human Resources (Animal and human health sector)",50,2017,"Detect","yellow"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Preparedness",100,2017,"Respond","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Emergency Response Operations",100,2017,"Respond","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Linking Public Health and Security Authorities",100,2017,"Respond","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Medical Countermeasures",60,2017,"Respond","yellow"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Risk Communication",90,2017,"Respond","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Events Points of Entry (PoEs)",100,2017,"Other Hazards","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Chemical Events",80,2017,"Other Hazards","green"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","Eastern Mediterranean Region","United Arab Emirates","Radiation Emergencies",90,2017,"Other Hazards","green"
"Argentina","ARG","Latin America & Caribbean","Upper middle income","IBRD",NA,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","National Legislation, Policy and Financing",100,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","IHR Coordination, Communication and Advocacy",100,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Antimicrobial Resistance",70,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Zoonotic Disease",100,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Food Safety",100,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Biosafety and Biosecurity",80,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Immunization",100,2016,"Prevent","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","National Laboratory System",80,2016,"Detect","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Real-Time Surveillance",80,2016,"Detect","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Reporting",60,2016,"Detect","yellow"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Human Resources (Animal and human health sector)",60,2016,"Detect","yellow"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Preparedness",100,2016,"Respond","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Emergency Response Operations",100,2016,"Respond","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Linking Public Health and Security Authorities",100,2016,"Respond","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Medical Countermeasures",60,2016,"Respond","yellow"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Risk Communication",90,2016,"Respond","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Events Points of Entry (PoEs)",70,2016,"Other Hazards","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Chemical Events",80,2016,"Other Hazards","green"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","European Region","Armenia","Radiation Emergencies",100,2016,"Other Hazards","green"
"American Samoa","ASM","East Asia & Pacific","Upper middle income",NA,NA,"American Samoa","ASM",NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income","IBRD",NA,"Antigua & Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","National Legislation, Policy and Financing",100,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","IHR Coordination, Communication and Advocacy",100,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Antimicrobial Resistance",80,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Zoonotic Disease",100,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Food Safety",100,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Biosafety and Biosecurity",90,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Immunization",100,2017,"Prevent","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","National Laboratory System",100,2017,"Detect","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Real-Time Surveillance",90,2017,"Detect","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Reporting",90,2017,"Detect","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Human Resources (Animal and human health sector)",60,2017,"Detect","yellow"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Preparedness",80,2017,"Respond","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Emergency Response Operations",90,2017,"Respond","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Linking Public Health and Security Authorities",80,2017,"Respond","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Medical Countermeasures",60,2017,"Respond","yellow"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Risk Communication",80,2017,"Respond","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Events Points of Entry (PoEs)",100,2017,"Other Hazards","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Chemical Events",100,2017,"Other Hazards","green"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Western Pacific Region","Australia","Radiation Emergencies",80,2017,"Other Hazards","green"
"Austria","AUT","Europe & Central Asia","High income",NA,"EMU","Austria","AUT",NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income","IBRD",NA,"Azerbaijan","AZE",NA,NA,NA,NA,NA,NA,NA
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","National Legislation, Policy and Financing",20,2018,"Prevent","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","IHR Coordination, Communication and Advocacy",20,2018,"Prevent","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Antimicrobial Resistance",20,2018,"Prevent","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Zoonotic Disease",20,2018,"Prevent","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Food Safety",40,2018,"Prevent","yellow"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Biosafety and Biosecurity",40,2018,"Prevent","yellow"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Immunization",70,2018,"Prevent","green"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","National Laboratory System",50,2018,"Detect","yellow"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Real-Time Surveillance",40,2018,"Detect","yellow"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Reporting",30,2018,"Detect","yellow"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Human Resources (Animal and human health sector)",20,2018,"Detect","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Preparedness",20,2018,"Respond","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Emergency Response Operations",20,2018,"Respond","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Linking Public Health and Security Authorities",20,2018,"Respond","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Medical Countermeasures",10,2018,"Respond","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Risk Communication",40,2018,"Respond","yellow"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Events Points of Entry (PoEs)",20,2018,"Other Hazards","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Chemical Events",20,2018,"Other Hazards","red"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","African Region","Burundi","Radiation Emergencies",20,2018,"Other Hazards","red"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","National Legislation, Policy and Financing",80,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","IHR Coordination, Communication and Advocacy",80,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Antimicrobial Resistance",80,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Zoonotic Disease",80,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Food Safety",100,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Biosafety and Biosecurity",70,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Immunization",90,2017,"Prevent","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","National Laboratory System",80,2017,"Detect","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Real-Time Surveillance",80,2017,"Detect","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Reporting",100,2017,"Detect","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Human Resources (Animal and human health sector)",50,2017,"Detect","yellow"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Preparedness",70,2017,"Respond","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Emergency Response Operations",90,2017,"Respond","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Linking Public Health and Security Authorities",80,2017,"Respond","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Medical Countermeasures",60,2017,"Respond","yellow"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Risk Communication",70,2017,"Respond","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Events Points of Entry (PoEs)",100,2017,"Other Hazards","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Chemical Events",100,2017,"Other Hazards","green"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","European Region","Belgium","Radiation Emergencies",70,2017,"Other Hazards","green"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","National Legislation, Policy and Financing",20,2017,"Prevent","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","IHR Coordination, Communication and Advocacy",20,2017,"Prevent","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Antimicrobial Resistance",20,2017,"Prevent","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Zoonotic Disease",60,2017,"Prevent","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Food Safety",20,2017,"Prevent","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Biosafety and Biosecurity",20,2017,"Prevent","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Immunization",60,2017,"Prevent","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","National Laboratory System",50,2017,"Detect","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Real-Time Surveillance",60,2017,"Detect","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Reporting",40,2017,"Detect","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Human Resources (Animal and human health sector)",40,2017,"Detect","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Preparedness",30,2017,"Respond","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Emergency Response Operations",20,2017,"Respond","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Linking Public Health and Security Authorities",40,2017,"Respond","yellow"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Medical Countermeasures",10,2017,"Respond","red"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","African Region","Benin","Risk Communication",40,2017,"Respond","yellow"
